State,LGAName,StateCode,sLGACode,LGACodetxt,LGACode
Jigawa,Kazaure,18,17,1817,1817
Jigawa,Kiri Kasama,18,18,1818,1818
Jigawa,kiyawa,18,19,1819,1819
Jigawa,Maigatari,18,20,1820,1820
Jigawa,Malam Maduri,18,21,1821,1821
Jigawa,Miga,18,22,1822,1822
Jigawa,Ringim,18,23,1823,1823
Jigawa,Roni,18,24,1824,1824
Jigawa,Sule Tankarkar,18,25,1825,1825
Jigawa,Taura,18,26,1826,1826
Jigawa,Yankwashi,18,27,1827,1827
Kaduna,Birnin Gwari,19,1,1901,1901
Kaduna,Chikun,19,2,1902,1902
Kaduna,Giwa,19,3,1903,1903
Kaduna,Igabi,19,4,1904,1904
Kaduna,Ikara,19,5,1905,1905
Kaduna,Jaba,19,6,1906,1906
Kaduna,Jema'a,19,7,1907,1907
Kaduna,Kachia,19,8,1908,1908
Kaduna,Kaduna North,19,9,1909,1909
Kaduna,kaduna South,19,10,1910,1910
Kaduna,Kagarko,19,11,1911,1911
Kaduna,Kajuru,19,12,1912,1912
Kaduna,Kaura,19,13,1913,1913
Kaduna,Kauru,19,14,1914,1914
Kaduna,Kuban,19,15,1915,1915
Kaduna,Kudan,19,16,1916,1916
Kaduna,Lere,19,17,1917,1917
Kaduna,Makarfi,19,18,1918,1918
Kaduna,Sabon Gari,19,19,1919,1919
Kaduna,Sanga,19,20,1920,1920
Kaduna,Soba,19,21,1921,1921
Kaduna,Zangon Kataf,19,22,1922,1922
Kaduna,Zaria,19,23,1923,1923
Kano,Ajingi,20,1,2001,2001
Kano,Albasu,20,2,2002,2002
Kano,Bagwai,20,3,2003,2003
Kano,Bebeji,20,4,2004,2004
Kano,Bichi,20,5,2005,2005
Kano,Bunkure,20,6,2006,2006
Kano,Dala,20,7,2007,2007
Kano,Dambatta,20,8,2008,2008
Kano,Dawakin Kudu,20,9,2009,2009
Kano,Dawakin Tofa,20,10,2010,2010
Kano,Doguwa,20,11,2011,2011
Kano,Fagge,20,12,2012,2012
Kano,Gabasawa,20,13,2013,2013
Kano,Garko,20,14,2014,2014
Kano,Garum Mallam,20,15,2015,2015
Kano,Gaya,20,16,2016,2016
Kano,Gezawa,20,17,2017,2017
Kano,Gwale,20,18,2018,2018
Kano,Gwarzo,20,19,2019,2019
Kano,Kabo,20,20,2020,2020
Kano,Kano Municipal,20,21,2021,2021
Kano,Karaye,20,22,2022,2022
Kano,Kibiya,20,23,2023,2023
Kano,Kiru,20,24,2024,2024
Kano,Kumbotso,20,25,2025,2025
Kano,Kunchi,20,26,2026,2026
Kano,Kura,20,27,2027,2027
Kano,Madobi,20,28,2028,2028
Kano,Makoda,20,29,2029,2029
Kano,Minjibir,20,30,2030,2030
Kano,Nassarawa,20,31,2031,2031
Kano,Rano,20,32,2032,2032
Kano,Rimin Gado,20,33,2033,2033
Kano,Rogo,20,34,2034,2034
Kano,Shanono,20,35,2035,2035
Kano,Sumaila,20,36,2036,2036
Kano,Takai,20,37,2037,2037
Kano,Tarauni,20,38,2038,2038
Kano,Tofa,20,39,2039,2039
Kano,Tsanyawa,20,40,2040,2040
Kano,Tudun Wada,20,41,2041,2041
Kano,Ungongo,20,42,2042,2042
Kano,Warawa,20,43,2043,2043
Kano,Wudil,20,44,2044,2044
Katsina,Bakori,21,1,2101,2101
Katsina,Batagarawa,21,2,2102,2102
Katsina,Batsari,21,3,2103,2103
Katsina,Baure,21,4,2104,2104
Katsina,Bindawa,21,5,2105,2105
Katsina,Charanchi,21,6,2106,2106
Katsina,Dan Musa,21,7,2107,2107
Katsina,Dandume,21,8,2108,2108
Katsina,Danja,21,9,2109,2109
Katsina,Daura,21,10,2110,2110
Katsina,Dutsi,21,11,2111,2111
