countries,Dengue,Meningitis,West Nile Virus,Cholera,Anthrax,Salmonella,Ebola,Swine Flu H1N1,Whooping Cough,Avian Influenza,Influenza,E. coli,Waterborne Illness,Gastroenteritis,Rabies,Not Yet Classified,Epizootic Hemorrhagic Disease,Swine Flu H3N2,Hantavirus,Coronavirus,Measles,African Swine Fever,Listeriosis,Mumps,Legionnaires',Norovirus,Foot and Mouth,Eastern Equine Encephalitis,Malaria,Polio,Foodborne Illness,Diarrhea,Poisoning,Plague,Other Animal Disease,"Hand, Foot and Mouth Disease",Tuberculosis,Marburg Fever,Undiagnosed,Chicken Pox,Schmallenberg,Animal Die-off,HIV/AIDS,Chikungunya,Other Plant Disease,Environmental,Syphilis,Peste des petits ruminants,Hepatitis A,SARS,Pests,Typhoid,Dysentery,Respiratory Illness,Equine Infectious Anemia,Algae,Botulism,Newcastle Disease,Encephalitis,Pneumonia,Scabies,MRSA,Fever,Other Human Disease
Portugal,124,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0.0,27,0,0,0.0,15,0,16,7,0.0,0.0,0,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,27,3
Haiti,0,0,0.0,115,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,3,0,0.0,18,0,0,0.0,0,0,0,0,0.0,0.0,2,3,0,0,0.0,0,0,57,0,0,0,0,0,0,0,3,4,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,27,26.0,0,14,0,0.0,0,0,12,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,4,0,0,0,0
Israel,0,0,3.0,0,9,0,0.0,0,0,0,0,0.0,0.0,2,2,0,0,0.0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,6,10,0,0,0,0,0,0
0,10,0,0.0,3,0,23,0.0,0,9,0,0,0.0,0.0,16,0,0,0,0.0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,5,2,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,30,0,0.0,0,0,0,0.0,0,0,3,3,0.0,0.0,0,16,0,0,0.0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8
Qatar,0,0,0.0,0,0,0,0.0,0,0,0,1,0.0,0.0,0,0,3,0,0.0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0.0,0,0,57,0.0,3,0,16,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
